,cit,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,device_protection,tech_support,paperless_billing,monthly_charges,churn_value,cltv,satisfaction_score,customer_status,churn_categor,referred_a_friend,number_of_referrals,tenure_in_months,offer,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,device_protection_plan,premium_tech_support,streaming_music,unlimited_data,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,age,under_30,number_of_dependents,internet_services,online_security,online_backup_srvc,multiple_line,streaming_tv_srvc,payment_methods,total_charge,contracts,churn_reasons,streaming_movies_srvc
0,Los Angeles,90003,33.964131,-118.272783,Male,0,0,0,2,1,0,0,1,53.85,1,3239,1,Churned,Competitor,0,0,2,None,10.47,DSL,21,0,0,0,1,0.0,0,20.94,129.09,30,0,0,1,1,1,0,0,Mailed check,108.15,Month-to-Month,Competitor made better offer,0
1,Los Angeles,90005,34.059281,-118.30742,Female,0,0,1,2,1,0,0,1,70.7,1,2701,2,Churned,Other,0,0,2,None,9.12,Fiber Optic,51,0,0,0,1,0.0,0,18.24,169.89000000000001,10,1,2,1,0,0,0,0,Electronic check,151.65,Month-to-Month,Moved,0
2,Los Angeles,90006,34.048013,-118.293953,Female,0,0,1,8,1,1,0,1,99.65,1,5372,3,Churned,Other,0,0,8,None,12.15,Cable,26,1,0,1,1,0.0,0,97.2,917.7,30,0,2,1,0,0,1,1,Electronic check,820.5,Month-to-Month,Moved,1
3,Los Angeles,90010,34.062125,-118.315709,Female,0,1,1,28,1,1,1,1,104.8,1,5003,3,Churned,Other,0,0,28,Offer C,4.89,Fiber Optic,47,1,1,1,1,0.0,0,136.92,3182.9700000000003,20,1,3,1,0,0,1,1,Electronic check,3046.05,Month-to-Month,Moved,1
4,Los Angeles,90015,34.039224,-118.266293,Male,0,0,1,49,1,1,0,1,103.7,1,5340,1,Churned,Competitor,0,0,49,None,44.33,Fiber Optic,11,1,0,1,1,0.0,0,2172.17,7208.47,30,0,1,1,0,1,1,1,Bank transfer (automatic),5036.3,Month-to-Month,Competitor had better devices,1
5,Los Angeles,90020,34.066367,-118.309868,Female,0,1,0,10,1,1,1,0,55.2,1,5925,1,Churned,Competitor,1,6,10,None,9.41,Cable,69,1,1,0,1,0.0,0,94.1,622.45,20,1,0,1,0,0,0,0,Credit card (automatic),528.35,Month-to-Month,Competitor made better offer,0
6,Los Angeles,90022,34.02381,-118.156582,Male,1,0,0,1,0,1,0,1,39.65,1,5433,3,Churned,Competitor,0,0,1,None,0.0,DSL,8,1,0,0,0,0.0,20,0.0,59.65,70,0,0,1,0,0,0,0,Electronic check,39.65,Month-to-Month,Competitor offered more data,1
7,Los Angeles,90024,34.066303,-118.435479,Male,0,0,0,1,1,0,0,0,20.15,1,4832,1,Churned,Competitor,0,0,1,None,33.58,None,0,0,0,0,0,0.0,0,33.58,53.73,20,1,0,0,0,0,0,0,Mailed check,20.15,Month-to-Month,Competitor made better offer,0
8,Los Angeles,90028,34.099869,-118.326843,Male,0,1,1,47,1,0,0,1,99.35,1,5789,1,Churned,Competitor,1,1,47,None,31.35,Fiber Optic,16,0,0,1,1,0.0,0,1473.45,6222.599999999999,60,0,1,1,0,1,1,1,Electronic check,4749.15,Month-to-Month,Competitor had better devices,1
9,Los Angeles,90029,34.089953,-118.294824,Male,0,1,0,1,0,0,0,0,30.2,1,2915,1,Churned,Competitor,1,1,1,None,0.0,DSL,58,0,0,0,1,0.0,0,0.0,30.2,20,1,0,1,0,1,0,0,Electronic check,30.2,Month-to-Month,Competitor had better devices,0
10,Los Angeles,90032,34.078821,-118.177576,Female,0,0,0,17,1,0,0,1,64.7,1,3022,1,Churned,Competitor,0,0,17,None,40.55,Cable,41,0,0,1,1,0.0,0,689.3499999999999,1782.4499999999998,10,1,0,1,0,0,0,1,Mailed check,1093.1,Month-to-Month,Competitor offered higher download speeds,1
11,Los Angeles,90039,34.110845,-118.259595,Male,0,0,1,5,1,0,0,1,69.7,1,2454,1,Churned,Competitor,0,0,5,None,12.6,Fiber Optic,58,0,0,0,1,0.0,0,63.0,379.9,50,0,3,1,0,0,0,0,Electronic check,316.9,Month-to-Month,Competitor had better devices,0
12,Los Angeles,90041,34.137412,-118.207607,Male,0,0,1,34,1,1,0,1,106.35,1,2941,2,Churned,Competitor,0,0,34,Offer C,21.69,Fiber Optic,28,1,0,1,1,0.0,0,737.46,4286.71,50,0,1,1,0,1,1,1,Electronic check,3549.25,Month-to-Month,Competitor offered higher download speeds,1
13,Los Angeles,90042,34.11572,-118.192754,Female,0,0,1,11,1,1,0,1,97.85,1,5674,3,Churned,Competitor,0,0,11,None,27.57,Cable,18,1,0,1,1,0.0,0,303.27,1408.67,40,0,2,1,0,0,1,1,Bank transfer (automatic),1105.4,Month-to-Month,Competitor offered more data,1
14,Los Angeles,90056,33.987945,-118.370442,Female,0,0,1,2,1,0,0,1,80.65,1,5586,1,Churned,Competitor,0,0,2,None,5.85,Fiber Optic,19,0,0,0,0,0.0,20,11.7,175.85,30,0,2,1,0,0,0,1,Electronic check,144.15,Month-to-Month,Competitor had better devices,0
15,Los Angeles,90061,33.92128,-118.274186,Female,0,0,1,15,1,0,0,1,99.1,1,2966,1,Churned,Competitor,0,0,15,None,3.96,Fiber Optic,20,0,0,1,1,0.0,0,59.4,1485.8000000000002,30,0,1,1,1,1,0,1,Credit card (automatic),1426.4,Month-to-Month,Competitor offered more data,1
16,Los Angeles,90063,34.044271,-118.185237,Female,1,1,1,8,1,0,0,1,80.65,1,5302,3,Churned,Competitor,1,1,8,Offer E,48.85,Fiber Optic,17,0,0,0,1,0.0,0,390.8,1024.1,70,0,1,1,0,1,1,0,Credit card (automatic),633.3,Month-to-Month,Competitor made better offer,0
17,Los Angeles,90065,34.108833,-118.229715,Male,1,0,1,18,1,0,0,1,95.45,1,3179,2,Churned,Competitor,0,0,18,Offer D,11.33,Fiber Optic,52,0,0,1,1,45.61,0,203.94,1910.88,70,0,3,1,0,0,1,1,Electronic check,1752.55,Month-to-Month,Competitor made better offer,1
18,Beverly Hills,90211,34.063947,-118.383001,Female,0,0,1,9,1,0,0,0,94.4,1,5571,3,Churned,Price,0,0,9,None,27.21,Fiber Optic,29,0,0,1,1,0.0,0,244.89000000000001,1102.14,40,0,2,1,0,0,1,1,Electronic check,857.25,Month-to-Month,Price too high,1
19,Huntington Park,90255,33.97803,-118.217141,Female,0,0,1,1,1,0,0,1,79.35,1,2483,1,Churned,Competitor,0,0,1,None,13.13,Fiber Optic,57,0,0,0,1,0.0,0,13.13,92.47999999999999,30,0,3,1,0,0,0,1,Electronic check,79.35,Month-to-Month,Competitor had better devices,0
20,Lynwood,90262,33.923573,-118.200669,Female,0,1,1,7,1,1,0,1,75.15,1,3457,1,Churned,Dissatisfaction,1,1,7,None,8.69,Fiber Optic,53,1,0,0,1,0.0,0,60.83,557.73,30,0,5,1,0,0,0,0,Bank transfer (automatic),496.9,Month-to-Month,Service dissatisfaction,0
21,Marina Del Rey,90292,33.977468,-118.445475,Female,0,0,1,12,1,0,0,1,78.95,1,5806,1,Churned,Attitude,0,0,12,None,25.34,Fiber Optic,56,0,0,0,0,0.0,80,304.08,1311.43,30,0,3,1,1,0,1,0,Electronic check,927.35,Month-to-Month,Attitude of support person,0
22,Inglewood,90301,33.956445,-118.358634,Male,0,0,0,5,1,0,0,0,21.05,1,2604,3,Churned,Attitude,0,0,5,Offer E,34.26,None,0,0,0,0,0,0.0,0,171.29999999999998,285.15,20,0,0,0,0,0,0,0,Mailed check,113.85,Month-to-Month,Attitude of support person,0
23,Inglewood,90303,33.936291,-118.332639,Female,1,1,1,25,1,1,0,1,98.5,1,5337,2,Churned,Dissatisfaction,1,1,25,Offer C,19.76,Fiber Optic,12,1,0,0,1,13.43,0,494.00000000000006,2995.07,70,0,1,1,0,1,0,1,Electronic check,2514.5,Month-to-Month,Limited range of services,1
24,Santa Monica,90403,34.031529,-118.491156,Male,0,1,0,68,1,1,1,1,110.0,1,5034,2,Churned,Competitor,1,4,68,Offer A,14.79,Fiber Optic,47,1,1,1,1,0.0,0,1005.7199999999999,8617.57,20,1,0,1,0,1,1,1,Bank transfer (automatic),7611.85,Two Year,Competitor had better devices,1
25,Torrance,90504,33.867257,-118.330794,Male,0,1,1,55,1,0,0,1,96.75,1,5154,1,Churned,Price,0,0,55,None,49.06,Fiber Optic,27,0,0,0,1,0.0,0,2698.3,7937.2,30,0,1,1,1,1,1,1,Electronic check,5238.9,Month-to-Month,Long distance charges,0
26,Whittier,90602,33.972119,-118.020188,Female,1,1,1,37,1,0,0,1,76.5,1,2793,2,Churned,Price,1,1,37,Offer C,6.33,Fiber Optic,14,0,0,0,1,0.0,0,234.21,3102.36,70,0,1,1,0,0,1,0,Electronic check,2868.15,Month-to-Month,Extra data charges,0
